companyLabel,countryLabel,shipsBuilt
Q10520540,Швеция,5
Джон Коккериль,Бельгия,5
Q12338285,Дания,5
Q124418673,Китай,5
Q104879512,Великобритания,5
Q4816484,США,5
Q61384576,Испания,5
Q8003294,США,5
Генри Экфорд,,5
Q118641169,Нидерланды,5
Q30638410,Финляндия,5
Q54211259,Норвегия,5
Q12310586,Дания,5
Q27972486,Германия,5
Гавр,Франция,5
Q54202065,Норвегия,5
BHP Billiton,Австралия,5
Q113279667,Нидерланды,5
Севастопольский морской завод,Россия,5
Севастопольский морской завод,Украина,5
Q1322484,Швеция,5
Q28225567,,5
Q2043009,Нидерланды,5
Q17747474,Мальта,5
Q47147176,Норвегия,5
Q6818390,США,5
Hanwha,Республика Корея,5
Q56239772,Сербия,5
Q1471588,Венгрия,5
Q2235329,Германия,5
Q6791346,,5
Q28686830,Япония,5
Cargill,США,5
Q107125988,Германия,5
Q1466588,Германия,5
Q1466588,Германский рейх,5
Q9070190,Испания,5
Q130899678,Китайская Республика (Тайвань),5
Русское общество пароходства и торговли,Российская империя,4
Q19869166,Швеция,4
Electric Boat,США,4
Q7258923,США,4
Q6711338,Швеция,4
Q10417437,Швеция,4
Q11794307,Польша,4
Q11794307,Германия,4
Q13529962,,4
Великобритания,Великобритания,4
Кралевица,Хорватия,4
Q11875321,Финляндия,4
Q65691188,Норвегия,4
STX Europe,Норвегия,4
Q4916181,,4
Q125257676,Нидерланды,4
Q7963831,Австралия,4
Q44061496,Великобритания,4
Q15127417,Германия,4
Q135182495,Нидерланды,4
Q1676324,,4
